No,Formula,Spacegroup,Total_Atoms,RF_Predicted_Energy,GNN_Predicted_Energy,CHGNet_Total_Energy,Web_App_Structure_Data
1,SrSb,"[Tetragonal] 점군: 4/mmm, 공간군: P4/mmm (No.123)",2,-0.3768,-0.7934,-3.9174,"[{'data': {'a': [4.277029929261049e-10, 0.0, 2.6189255063634874e-26], 'b': [-2.6189255063634874e-26, 4.277029929261049e-10, 2.6189255063634874e-26], 'c': [0.0, 0.0, 3.5536517330563797e-10], 'atoms': [{'x': 2.1385149646305245e-10, 'y': 2.1385149646305245e-10, 'z': 1.7768258665281899e-10, 'element': 'Sr'}, {'x': 0.0, 'y': 0.0, 'z': 0.0, 'element': 'Sb'}]}, 'natoms': 2, 'element': {'Sr': 1, 'Sb': 1}}]"
2,Ca3Sb2,"[Trigonal] 점군: -3m, 공간군: P-3m1 (No.164)",5,-0.3207,-0.807,-3.955,"[{'data': {'a': [2.6780814552975463e-10, -4.6385731473833493e-10, 0.0], 'b': [2.6780814552975463e-10, 4.6385731473833493e-10, 0.0], 'c': [0.0, 0.0, 6.605414643625446e-10], 'atoms': [{'x': 2.6780814552975463e-10, 'y': 1.5461910491277827e-10, 'z': 4.607733815039317e-10, 'element': 'Ca'}, {'x': 0.0, 'y': 0.0, 'z': 0.0, 'element': 'Ca'}, {'x': 2.678081455297547e-10, 'y': -1.5461910491277833e-10, 'z': 1.9976808285861285e-10, 'element': 'Ca'}, {'x': 2.6780814552975463e-10, 'y': -1.546191049127783e-10, 'z': 5.188524972113245e-10, 'element': 'Sb'}, {'x': 2.678081455297547e-10, 'y': 1.5461910491277833e-10, 'z': 1.416889671512201e-10, 'element': 'Sb'}]}, 'natoms': 5, 'element': {'Ca': 3, 'Sb': 2}}]"
3,KSb,"[Orthorhombic] 점군: mmm, 공간군: Pmmm (No.47)",2,-0.2295,-0.427,-3.0259,"[{'data': {'a': [3.0513181291051094e-10, 0.0, 1.8683934899944313e-26], 'b': [-2.5450202253700262e-26, 4.156333445924112e-10, 2.5450202253700262e-26], 'c': [0.0, 0.0, 5.287394356149466e-10], 'atoms': [{'x': 1.5256590645525547e-10, 'y': 0.0, 'z': 2.643697178074733e-10, 'element': 'K'}, {'x': -1.2725101126850131e-26, 'y': 2.078166722962056e-10, 'z': 1.2725101126850131e-26, 'element': 'Sb'}]}, 'natoms': 2, 'element': {'K': 1, 'Sb': 1}}]"
4,SrAs,"[Monoclinic] 점군: 2/m, 공간군: C2/m (No.12)",8,-0.2542,-1.2501,-4.2089,"[{'data': {'a': [0.0, 1.1470268787040558e-09, 0.0], 'b': [4.212870788390134e-10, 0.0, 0.0], 'c': [0.0, -4.36213250858113e-11, -4.92287795709741e-10], 'atoms': [{'x': 2.106435394195067e-10, 'y': 7.148080089315385e-10, 'z': -1.1545476129309493e-10, 'element': 'Sr'}, {'x': 0.0, 'y': 9.621109840387339e-10, 'z': -3.7683303441664603e-10, 'element': 'Sr'}, {'x': 0.0, 'y': 1.4129456957951067e-10, 'z': -1.1545476129309493e-10, 'element': 'Sr'}, {'x': 2.106435394195067e-10, 'y': 3.8859754468670597e-10, 'z': -3.7683303441664603e-10, 'element': 'Sr'}, {'x': 0.0, 'y': 6.40994832596906e-10, 'z': -3.40500963722669e-10, 'element': 'As'}, {'x': 2.106435394195067e-10, 'y': 1.0359241603733664e-09, 'z': -1.5178683198707197e-10, 'element': 'As'}, {'x': 2.106435394195067e-10, 'y': 6.748139324487814e-11, 'z': -3.40500963722669e-10, 'element': 'As'}, {'x': 0.0, 'y': 4.6241072102133847e-10, 'z': -1.5178683198707197e-10, 'element': 'As'}]}, 'natoms': 8, 'element': {'Sr': 4, 'As': 4}}]"
5,KBr,"[Hexagonal] 점군: mm2, 공간군: P-6m2 (No.187)",2,-1.2484,-1.9928,-3.3726,"[{'data': {'a': [2.283333896148271e-10, -3.9548503187730034e-10, 0.0], 'b': [2.283333896148271e-10, 3.9548503187730034e-10, 0.0], 'c': [0.0, 0.0, 4.135880645583202e-10], 'atoms': [{'x': 2.283333896148271e-10, 'y': 1.3182834395910013e-10, 'z': 0.0, 'element': 'K'}, {'x': 0.0, 'y': 0.0, 'z': 2.067940322791601e-10, 'element': 'Br'}]}, 'natoms': 2, 'element': {'K': 1, 'Br': 1}}]"
6,RbSb,"[Orthorhombic] 점군: mm2, 공간군: Pmm2 (No.25)",2,-0.3873,-0.6453,-2.9173,"[{'data': {'a': [3.1340015785628654e-10, 0.0, 1.9190225008548828e-26], 'b': [-2.5538187003825618e-26, 4.1707024460613944e-10, 2.5538187003825618e-26], 'c': [0.0, 0.0, 5.551324771932846e-10], 'atoms': [{'x': 2.7819287711001587e-10, 'y': 0.0, 'z': 2.775662385966423e-10, 'element': 'Rb'}, {'x': 1.1135987702380315e-10, 'y': 2.0853512230306972e-10, 'z': 1.958791934944498e-26, 'element': 'Sb'}]}, 'natoms': 2, 'element': {'Rb': 1, 'Sb': 1}}]"
7,SbPd,"[Monoclinic] 점군: m, 공간군: Cc (No.9)",8,-0.2179,-0.4278,-5.1562,"[{'data': {'a': [0.0, 4.322882826231067e-10, 0.0], 'b': [9.87902356304732e-10, 0.0, 0.0], 'c': [0.0, -1.424504091537335e-10, -4.0980771922478787e-10], 'atoms': [{'x': 8.409718841724874e-10, 'y': 1.4786261689651342e-10, 'z': -9.931348769115013e-11, 'element': 'Sb'}, {'x': 6.408816502846105e-10, 'y': 2.9278155363120003e-10, 'z': -3.042173473035441e-10, 'element': 'Sb'}, {'x': 3.470207060201214e-10, 'y': 3.640067582080668e-10, 'z': -9.931348769115013e-11, 'element': 'Sb'}, {'x': 1.4693047213224456e-10, 'y': 7.663741231964667e-11, 'z': -3.042173473035441e-10, 'element': 'Sb'}, {'x': 5.840509930164514e-10, 'y': 2.2191324296758652e-10, 'z': -4.452569496212515e-11, 'element': 'Pd'}, {'x': 8.978025414406464e-10, 'y': -6.545610292083359e-11, 'z': -2.4942955457451915e-10, 'element': 'Pd'}, {'x': 9.009981486408548e-11, 'y': 5.76910165603316e-12, 'z': -4.452569496212515e-11, 'element': 'Pd'}, {'x': 4.038513632882805e-10, 'y': 1.5068803839071979e-10, 'z': -2.4942955457451915e-10, 'element': 'Pd'}]}, 'natoms': 8, 'element': {'Sb': 4, 'Pd': 4}}]"
8,NaAs,"[Orthorhombic] 점군: mm2, 공간군: Imm2 (No.44)",8,-0.2001,-0.5533,-3.3944,"[{'data': {'a': [3.9715006623748856e-10, 0.0, 2.4318427869944984e-26], 'b': [-3.474537778379181e-26, 5.674350810043009e-10, 3.474537778379181e-26], 'c': [0.0, 0.0, 8.861881897562136e-10], 'atoms': [{'x': -1.2691036444968137e-26, 'y': 2.0726035382290032e-10, 'z': 7.051727193616264e-10, 'element': 'Na'}, {'x': -1.2691036444968137e-26, 'y': 2.0726035382290032e-10, 'z': 1.8101547039458704e-10, 'element': 'Na'}, {'x': 1.9857503311874428e-10, 'y': 4.909778943250507e-10, 'z': 2.6207862448351976e-10, 'element': 'Na'}, {'x': 1.9857503311874428e-10, 'y': 4.909778943250507e-10, 'z': 6.241095652726938e-10, 'element': 'Na'}, {'x': -3.088116410048248e-26, 'y': 5.043276824302835e-10, 'z': 3.088116410048248e-26, 'element': 'As'}, {'x': 1.9857503311874428e-10, 'y': 3.5198944933412304e-10, 'z': 3.371235155800615e-26, 'element': 'As'}, {'x': 1.9857503311874428e-10, 'y': 2.2061014192813304e-10, 'z': 4.430940948781068e-10, 'element': 'As'}, {'x': -4.180448731137756e-27, 'y': 6.827190883197256e-11, 'z': 4.430940948781068e-10, 'element': 'As'}]}, 'natoms': 8, 'element': {'Na': 4, 'As': 4}}]"
9,KBr,"[Hexagonal] 점군: mm2, 공간군: P-6m2 (No.187)",2,-1.3312,-1.9895,-3.3725,"[{'data': {'a': [2.2839061832687974e-10, -3.9558415491422726e-10, 0.0], 'b': [2.2839061832687974e-10, 3.9558415491422726e-10, 0.0], 'c': [0.0, 0.0, 4.143121459817535e-10], 'atoms': [{'x': 2.2839061832687974e-10, 'y': 1.3186138497140909e-10, 'z': 2.0715607299087675e-10, 'element': 'K'}, {'x': 0.0, 'y': 0.0, 'z': 0.0, 'element': 'Br'}]}, 'natoms': 2, 'element': {'K': 1, 'Br': 1}}]"
10,SrSb2,"[Monoclinic] 점군: 2/m, 공간군: C2/m (No.12)",6,-0.3399,-0.8422,-4.1367,"[{'data': {'a': [0.0, 9.843637518120403e-10, 0.0], 'b': [4.4590197210910503e-10, 0.0, 0.0], 'c': [0.0, -9.103277012965171e-11, -4.3665903862037155e-10], 'atoms': [{'x': 0.0, 'y': 4.4666549084119433e-10, 'z': -2.1832951931018577e-10, 'element': 'Sr'}, {'x': 2.2295098605455251e-10, 'y': -4.5516385064825856e-11, 'z': -2.1832951931018577e-10, 'element': 'Sr'}, {'x': 0.0, 'y': 1.4852014417894303e-10, 'z': -3.668790855520135e-11, 'element': 'Sb'}, {'x': 2.2295098605455251e-10, 'y': 2.526289615974254e-10, 'z': -3.9997113006517023e-10, 'element': 'Sb'}, {'x': 2.2295098605455251e-10, 'y': 6.407020200849631e-10, 'z': -3.668790855520135e-11, 'element': 'Sb'}, {'x': 0.0, 'y': 7.448108375034456e-10, 'z': -3.9997113006517023e-10, 'element': 'Sb'}]}, 'natoms': 6, 'element': {'Sr': 2, 'Sb': 4}}]"
